id,text
seed-001,How do I reset my password?
seed-002,Can I change my email address?
seed-003,Where can I download last month's invoice?
seed-004,Is two-factor authentication available?
seed-005,How do I delete my account permanently?
seed-006,Do you support Apple Pay?
seed-007,Can I pause my subscription?
seed-008,How long is the refund window for digital goods?
seed-009,Where is the privacy policy link?
seed-010,How to contact billing for VAT invoices?
seed-011,The app keeps crashing on Android 14.
seed-012,I never received the verification email.
seed-013,I was double-charged this month.
seed-014,How can I export my data?
seed-015,How do I enable dark mode?
seed-016,Can I add multiple users to one account?
seed-017,Do you offer student discounts?
seed-018,How to change the default language?
seed-019,Why is my order still processing?
seed-020,Can I get a receipt for my purchase?
seed-021,How to link my Google account?
seed-022,Does the API support webhooks?
seed-023,How to regenerate an API key?
seed-024,What is the rate limit for the API?
seed-025,Can I extend my free trial?
seed-026,How do I report a security issue?
seed-027,Can I migrate my data from another app?
seed-028,Where can I manage email notifications?
seed-029,How do I update my credit card?
seed-030,I can't find the settings page.
seed-031,How to change the shipping address?
seed-032,How do I track my order?
seed-033,Can I combine coupons?
seed-034,Is there a family plan?
seed-035,What are supported file formats?
seed-036,How do I import a CSV?
seed-037,How can I recover a deleted project?
seed-038,Where do I see system status?
seed-039,Can I whitelist IP addresses?
seed-040,How to request data deletion (GDPR)?
seed-041,How to enable SSO?
seed-042,Is there an offline mode?
seed-043,How do I turn off auto-renewal?
seed-044,Where can I see my usage?
seed-045,How to schedule a demo?
seed-046,Do you have on-premise options?
seed-047,How to submit a feature request?
seed-048,How to join the beta program?
seed-049,Why was my payment declined?
seed-050,Is there a mobile app for iOS?
seed-051,Can I export to PDF?
seed-052,How to filter search results?
seed-053,How to invite teammates?
seed-054,Where can I see release notes?
seed-055,Do you have keyboard shortcuts?
seed-056,How to contact live chat support?
seed-057,How to downgrade my plan?
seed-058,What is your uptime SLA?
seed-059,How to verify my domain?
seed-060,Can I disable email tracking?
